	sentences	label
0	  Ik ben makelaar in koffi, en woon op de Lauriergracht, NÂ° 37.	droogstoppel
1	Het is myn gewoonte niet, romans te schryven, of zulke dingen, en het heeft dan ook lang geduurd, voor ik er toe overging een paar riem papier extra te bestellen, en het werk aantevangen, dat gy, lieve lezer, zoo-even in de hand hebt genomen, en dat ge lezen moet als ge makelaar in koffi zyt, of als ge wat anders zyt.	droogstoppel
2	Niet alleen dat ik nooit iets schreef wat naar een roman geleek, maar ik houd er zelfs niet van, iets dergelyks te lezen, omdat ik een man van zaken ben.	droogstoppel
3	Sedert jaren vraag ik my af, waartoe zulke dingen dienen, en ik sta verbaasd over de onbeschaamdheid, waarmede een dichter of romanverteller u iets op de mouw durft spelden, dat nooit gebeurd is, en meestal niet gebeuren kan.	droogstoppel
4	Als ik in _myn	droogstoppel
5	vak--ik ben makelaar in koffi, en woon op de Lauriergracht NÂ° 37--aan een principaal	droogstoppel
6	is iemand die koffi verkoopt--een opgave deed, waarin maar een klein gedeelte der onwaarheden voorkwam, die in gedichten en romans de hoofdzaak uitmaken, zou hy terstond Busselinck & Waterman nemen.	droogstoppel
7	Dat zyn ook makelaars in koffi, doch hun adres behoeft ge niet te weten.	droogstoppel
8	Ik pas er dus wel op, dat ik geen romans schryf, of andere valsche opgaven doe.	droogstoppel
9	Ik heb dan ook altyd opgemerkt dat menschen die zich met zoo-iets inlaten, gewoonlyk slecht wegkomen.	droogstoppel
10	Ik ben drie en veertig jaren oud, bezoek sedert twintig jaren de beurs, en kan dus voor den dag treden, als men iemand roept die ondervinding heeft.	droogstoppel
11	Ik heb al wat huizen zien vallen!	droogstoppel
12	En gewoonlyk, wanneer ik de oorzaken naging, kwam het me voor, dat die moesten gezocht worden in de verkeerde richting die aan de meesten gegeven was in hun jeugd.  	droogstoppel
13	_waarheid en gezond verstand_, en hier blyf ik by.	droogstoppel
14	Voor de _Schrift_ maak ik natuurlyk een uitzondering.	droogstoppel
15	"De fout begint al van Van Alphen af, en wel terstond by den eersten regel over die ""_lieve wichtjes_."	droogstoppel
